symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-06-07 00:00:00+00:00,193.46,194.2,192.34,194.14,21347180,46.2231811008,46.3999884719,45.9555807554,46.3856527391,85388720,0.0,1.0
AAPL,2018-06-08 00:00:00+00:00,191.7,192.0,189.77,191.17,26656799,45.8026662722,45.8743449362,45.3415335341,45.6760339659,106627196,0.0,1.0
AAPL,2018-06-11 00:00:00+00:00,191.23,191.97,190.21,191.35,18308460,45.6903696987,45.8671770698,45.4466622412,45.7190411643,73233840,0.0,1.0
AAPL,2018-06-12 00:00:00+00:00,192.28,192.61,191.15,191.39,16911141,45.9412450226,46.0200915529,45.6712553883,45.7285983195,67644564,0.0,1.0
AAPL,2018-06-13 00:00:00+00:00,190.7,192.88,190.44,192.42,21638393,45.5637373924,46.0846023505,45.5016158836,45.9746950658,86553572,0.0,1.0
AAPL,2018-06-14 00:00:00+00:00,190.8,191.57,190.22,191.55,21610074,45.5876302804,45.7716055179,45.44905153,45.7668269403,86440296,0.0,1.0
AAPL,2018-06-15 00:00:00+00:00,188.84,190.16,188.26,190.03,61719160,45.1193296758,45.4347157972,44.9807509255,45.4036550429,246876640,0.0,1.0
AAPL,2018-06-18 00:00:00+00:00,188.74,189.22,187.2,187.88,18484865,45.0954367878,45.2101226502,44.7274863128,44.8899579511,73939460,0.0,1.0
AAPL,2018-06-19 00:00:00+00:00,185.69,186.33,183.45,185.14,33578455,44.3667037042,44.5196181873,43.8315030133,44.2352928203,134313820,0.0,1.0
AAPL,2018-06-20 00:00:00+00:00,186.5,187.2,185.73,186.35,20628701,44.5602360969,44.7274863128,44.3762608594,44.5243967649,82514804,0.0,1.0
AAPL,2018-06-21 00:00:00+00:00,185.46,188.35,184.94,187.25,25711898,44.3117500618,45.0022545247,44.1875070443,44.7394327568,102847592,0.0,1.0
AAPL,2018-06-22 00:00:00+00:00,184.92,186.15,184.7,186.12,27200447,44.1827284667,44.4766109889,44.1301641131,44.4694431225,108801788,0.0,1.0
AAPL,2018-06-25 00:00:00+00:00,182.17,184.92,180.73,183.4,31663096,43.525674047,44.1827284667,43.18161646,43.8195565693,126652384,0.0,1.0
AAPL,2018-06-26 00:00:00+00:00,184.43,186.53,182.54,182.99,24569201,44.0656533155,44.5674039633,43.6140777326,43.7215957285,98276804,0.0,1.0
AAPL,2018-06-27 00:00:00+00:00,184.16,187.28,184.03,185.23,25285328,44.001142518,44.7466006232,43.9700817636,44.2567964194,101141312,0.0,1.0
AAPL,2018-06-28 00:00:00+00:00,185.5,186.21,183.8,184.1,17365235,44.321307217,44.4909467217,43.9151281212,43.9868067852,69460940,0.0,1.0
AAPL,2018-06-29 00:00:00+00:00,185.11,187.19,182.91,186.29,22737666,44.2281249539,44.725097024,43.7024814181,44.5100610321,90950664,0.0,1.0
AAPL,2018-07-02 00:00:00+00:00,187.18,187.3,183.42,183.82,17731343,44.7227077352,44.7513792008,43.8243351469,43.9199066988,70925372,0.0,1.0
AAPL,2018-07-03 00:00:00+00:00,183.92,187.95,183.54,187.79,13954806,43.9437995868,44.9066829727,43.8530066125,44.8684543519,55819224,0.0,1.0
AAPL,2018-07-05 00:00:00+00:00,185.4,186.41,184.28,185.26,16604248,44.297414329,44.5387324977,44.0298139836,44.2639642858,66416992,0.0,1.0
AAPL,2018-07-06 00:00:00+00:00,187.97,188.43,185.2,185.42,17485245,44.9114615503,45.0213688351,44.2496285531,44.3021929066,69940980,0.0,1.0
AAPL,2018-07-09 00:00:00+00:00,190.58,190.68,189.3,189.5,19756634,45.5350659268,45.5589588148,45.2292369605,45.2770227365,79026536,0.0,1.0
AAPL,2018-07-10 00:00:00+00:00,190.35,191.28,190.18,190.71,15939149,45.4801122844,45.7023161427,45.4394943748,45.5661266812,63756596,0.0,1.0
AAPL,2018-07-11 00:00:00+00:00,187.88,189.78,187.61,188.5,18831470,44.8899579511,45.3439228229,44.8254471536,45.0380938566,75325880,0.0,1.0
AAPL,2018-07-12 00:00:00+00:00,191.03,191.41,189.31,189.53,18041131,45.6425839227,45.7333768971,45.2316262493,45.2841906029,72164524,0.0,1.0
AAPL,2018-07-13 00:00:00+00:00,191.33,191.84,190.9,191.08,12519792,45.7142625867,45.8361163154,45.6115231683,45.6545303667,50079168,0.0,1.0
AAPL,2018-07-16 00:00:00+00:00,190.91,192.65,190.42,191.52,15043110,45.6139124571,46.0296487081,45.496837306,45.7596590739,60172440,0.0,1.0
AAPL,2018-07-17 00:00:00+00:00,191.45,191.87,189.2,189.75,15534523,45.7429340523,45.8432841818,45.2053440726,45.3367549565,62138092,0.0,1.0
AAPL,2018-07-18 00:00:00+00:00,190.4,191.8,189.93,191.78,16393381,45.4920587284,45.8265591602,45.3797621549,45.8217805826,65573524,0.0,1.0
AAPL,2018-07-19 00:00:00+00:00,191.88,192.55,189.69,189.69,20286752,45.8456734706,46.0057558201,45.3224192237,45.3224192237,81147008,0.0,1.0
AAPL,2018-07-20 00:00:00+00:00,191.44,192.43,190.17,191.78,20706042,45.7405447635,45.9770843546,45.437105086,45.8217805826,82824168,0.0,1.0
AAPL,2018-07-23 00:00:00+00:00,191.61,191.96,189.56,190.68,15989365,45.7811626731,45.864787781,45.2913584693,45.5589588148,63957460,0.0,1.0
AAPL,2018-07-24 00:00:00+00:00,193.0,193.66,192.05,192.45,18697898,46.1132738161,46.2709668768,45.8862913802,45.9818629322,74791592,0.0,1.0
AAPL,2018-07-25 00:00:00+00:00,194.82,194.85,192.43,193.06,16826483,46.5481243775,46.5552922439,45.9770843546,46.1276095489,67305932,0.0,1.0
AAPL,2018-07-26 00:00:00+00:00,194.21,195.96,193.61,194.61,19075964,46.4023777607,46.8205033005,46.2590204328,46.4979493127,76303856,0.0,1.0
AAPL,2018-07-27 00:00:00+00:00,190.98,195.19,190.1,194.99,24023972,45.6306374787,46.636528063,45.4203800644,46.588742287,96095888,0.0,1.0
AAPL,2018-07-30 00:00:00+00:00,189.91,192.2,189.07,191.9,21029535,45.3749835773,45.9221307122,45.1742833182,45.8504520482,84118140,0.0,1.0
AAPL,2018-07-31 00:00:00+00:00,190.29,192.14,189.34,190.3,39373038,45.4657765516,45.9077949794,45.2387941157,45.4681658404,157492152,0.0,1.0
AAPL,2018-08-01 00:00:00+00:00,201.5,201.76,197.31,199.13,67935716,48.144169295,48.2062908038,47.1430572884,47.5779078497,271742864,0.0,1.0
AAPL,2018-08-02 00:00:00+00:00,207.39,208.38,200.35,200.58,62404012,49.5514603975,49.7879999886,47.8694010832,47.9243547255,249616048,0.0,1.0
AAPL,2018-08-03 00:00:00+00:00,207.99,208.74,205.48,207.03,33447396,49.6948177254,49.8740143853,49.0951062369,49.4654460007,133789584,0.0,1.0
AAPL,2018-08-06 00:00:00+00:00,209.07,209.25,207.07,208.0,25425387,49.9528609157,49.9958681141,49.4750031559,49.6972070142,101701548,0.0,1.0
AAPL,2018-08-07 00:00:00+00:00,207.11,209.5,206.76,209.32,25587387,49.4845603111,50.055600334,49.4009352032,50.0125931357,102349548,0.0,1.0
AAPL,2018-08-08 00:00:00+00:00,207.25,207.81,204.52,206.05,22525487,49.5180103543,49.6518105271,48.8657345123,49.2312956985,90101948,0.0,1.0
AAPL,2018-08-09 00:00:00+00:00,208.88,209.78,207.2,207.28,23492626,49.9074644285,50.1225004204,49.5060639103,49.5251782207,93970504,0.0,1.0
AAPL,2018-08-10 00:00:00+00:00,207.53,209.1,206.67,207.36,24611202,49.759328523,50.1357663671,49.5531269014,49.7185677373,98444808,0.73,1.0
AAPL,2018-08-13 00:00:00+00:00,208.87,210.95,207.7,207.7,25890880,50.0806194218,50.5793396228,49.8000893087,49.8000893087,103563520,0.0,1.0
AAPL,2018-08-14 00:00:00+00:00,209.75,210.56,208.26,210.16,20748010,50.2916164299,50.4858295851,49.934360132,50.3899218542,82992040,0.0,1.0
AAPL,2018-08-15 00:00:00+00:00,210.24,210.74,208.33,209.22,28807564,50.4091034004,50.5289880641,49.9511439849,50.1645386864,115230256,0.0,1.0
AAPL,2018-08-16 00:00:00+00:00,213.32,213.81,211.47,211.75,28500367,51.1475929289,51.2650798993,50.7040196731,50.7711550848,114001468,0.0,1.0
AAPL,2018-08-17 00:00:00+00:00,217.58,217.95,213.16,213.44,35426997,52.1690102637,52.2577249149,51.1092298365,51.1763652481,141707988,0.0,1.0
AAPL,2018-08-20 00:00:00+00:00,215.46,219.18,215.11,218.1,30287695,51.6606992896,52.5526411876,51.576780025,52.293690314,121150780,0.0,1.0
AAPL,2018-08-21 00:00:00+00:00,215.04,217.19,214.03,216.8,26159755,51.559996172,52.075500226,51.3178291513,51.9819901883,104639020,0.0,1.0
AAPL,2018-08-22 00:00:00+00:00,215.05,216.36,213.84,214.1,19018131,51.5623938653,51.8764916843,51.2722729791,51.3346130043,76072524,0.0,1.0
AAPL,2018-08-23 00:00:00+00:00,215.49,217.05,214.6,214.65,18883224,51.6678923694,52.0419325202,51.454497668,51.4664861343,75532896,0.0,1.0
AAPL,2018-08-24 00:00:00+00:00,216.16,216.9,215.11,216.6,18476356,51.8285378188,52.0059671211,51.576780025,51.9340363228,73905424,0.0,1.0
AAPL,2018-08-27 00:00:00+00:00,217.94,218.74,216.33,217.15,20525117,52.2553272216,52.4471426836,51.8692986044,52.0659094529,82100468,0.0,1.0
AAPL,2018-08-28 00:00:00+00:00,219.7,220.54,218.92,219.01,22776766,52.6773212379,52.878727473,52.4903011625,52.511880402,91107064,0.0,1.0
AAPL,2018-08-29 00:00:00+00:00,222.98,223.49,219.41,220.15,27254804,53.4637646319,53.5860469889,52.6077881329,52.7852174353,109019216,0.0,1.0
AAPL,2018-08-30 00:00:00+00:00,225.03,228.26,222.4,223.25,48793824,53.9552917531,54.7297466808,53.324698422,53.5285023503,195175296,0.0,1.0
AAPL,2018-08-31 00:00:00+00:00,227.63,228.87,226.0,226.51,43340134,54.5786920045,54.8760059705,54.1878680008,54.3101503577,173360536,0.0,1.0
AAPL,2018-09-04 00:00:00+00:00,228.36,229.18,226.63,228.41,27390132,54.7537236135,54.950334462,54.338922677,54.7657120799,109560528,0.0,1.0
AAPL,2018-09-05 00:00:00+00:00,226.87,229.67,225.1,228.99,33332960,54.3964673156,55.0678214325,53.9720756061,54.9047782898,133331840,0.0,1.0
AAPL,2018-09-06 00:00:00+00:00,223.1,227.35,221.3,226.23,34289976,53.4925369512,54.5115565928,53.0609521618,54.2430149461,137159904,0.0,1.0
AAPL,2018-09-07 00:00:00+00:00,221.3,225.37,220.71,221.85,37619810,53.0609521618,54.0368133245,52.9194882586,53.1928252919,150479240,0.0,1.0
AAPL,2018-09-10 00:00:00+00:00,218.33,221.85,216.47,220.95,39516453,52.3488372593,53.1928252919,51.9028663103,52.9770328972,158065812,0.0,1.0
AAPL,2018-09-11 00:00:00+00:00,223.85,224.3,216.56,218.01,35749049,53.6723639468,53.7802601441,51.9244455498,52.2721110745,142996196,0.0,1.0
AAPL,2018-09-12 00:00:00+00:00,221.07,225.0,219.84,224.94,49278740,53.0058052165,53.9480986733,52.7108889437,53.9337125137,197114960,0.0,1.0
AAPL,2018-09-13 00:00:00+00:00,226.41,228.35,222.57,223.52,41706377,54.286173425,54.7513259202,53.3654592076,53.5932400687,166825508,0.0,1.0
AAPL,2018-09-14 00:00:00+00:00,223.84,226.84,222.52,225.75,31999289,53.6699662535,54.3892742358,53.3534707413,54.1279256689,127997156,0.0,1.0
AAPL,2018-09-17 00:00:00+00:00,217.88,222.95,217.27,222.15,37195133,52.240941062,53.4565715521,52.0946817722,53.2647560901,148780532,0.0,1.0
AAPL,2018-09-18 00:00:00+00:00,218.24,221.85,217.12,217.79,31571712,52.3272580198,53.1928252919,52.0587163731,52.2193618225,126286848,0.0,1.0
AAPL,2018-09-19 00:00:00+00:00,218.37,219.62,215.3,218.5,27123833,52.3584280324,52.6581396917,51.6223361972,52.389598045,108495332,0.0,1.0
AAPL,2018-09-20 00:00:00+00:00,220.03,222.28,219.15,220.24,26608794,52.756445116,53.2959261027,52.5454481078,52.8067966747,106435176,0.0,1.0
AAPL,2018-09-21 00:00:00+00:00,217.66,221.36,217.29,220.78,96246748,52.1881918099,53.0753383214,52.0994771588,52.9362721115,384986992,0.0,1.0
AAPL,2018-09-24 00:00:00+00:00,220.79,221.26,216.63,216.82,27693358,52.9386698048,53.0513613887,51.9412294027,51.9867855749,110773432,0.0,1.0
AAPL,2018-09-25 00:00:00+00:00,222.19,222.82,219.7,219.75,24554379,53.2743468632,53.4254015395,52.6773212379,52.6893097043,98217516,0.0,1.0
AAPL,2018-09-26 00:00:00+00:00,220.42,223.75,219.76,221.0,23984706,52.8499551537,53.648387014,52.6917073976,52.9890213636,95938824,0.0,1.0
AAPL,2018-09-27 00:00:00+00:00,224.95,226.44,223.54,223.82,30181227,53.9361102069,54.2933665048,53.5980354553,53.6651708669,120724908,0.0,1.0
AAPL,2018-09-28 00:00:00+00:00,225.74,225.84,224.02,224.79,22929364,54.1255279756,54.1495049084,53.7131247324,53.8977471146,91717456,0.0,1.0
AAPL,2018-10-01 00:00:00+00:00,227.26,229.42,226.35,227.95,23600802,54.4899773533,55.0078791006,54.2717872654,54.6554181893,94403208,0.0,1.0
AAPL,2018-10-02 00:00:00+00:00,229.28,230.0,226.63,227.25,24788170,54.9743113948,55.1469453105,54.338922677,54.4875796601,99152680,0.0,1.0
AAPL,2018-10-03 00:00:00+00:00,232.07,233.47,229.78,230.05,28654799,55.6432678183,55.9789448767,55.0941960585,55.1589337769,114619196,0.0,1.0
AAPL,2018-10-04 00:00:00+00:00,227.99,232.35,226.73,230.78,32042000,54.6650089624,55.71040323,54.3628996098,55.3339653859,128168000,0.0,1.0
AAPL,2018-10-05 00:00:00+00:00,224.29,228.41,220.58,227.96,33580463,53.7778624508,54.7657120799,52.888318246,54.6578158825,134321852,0.0,1.0
AAPL,2018-10-08 00:00:00+00:00,223.77,224.8,220.2,222.21,29663923,53.6531824006,53.9001448078,52.7972059016,53.2791422498,118655692,0.0,1.0
AAPL,2018-10-09 00:00:00+00:00,226.87,227.27,222.25,223.64,26891029,54.3964673156,54.4923750466,53.2887330229,53.622012388,107564116,0.0,1.0
AAPL,2018-10-10 00:00:00+00:00,216.36,226.35,216.05,225.46,41990554,51.8764916843,54.2717872654,51.8021631928,54.0583925639,167962216,0.0,1.0
